51123169	111247	1	2012-11-25 01:30:00	2012-11-25 02:10:00	Ep.26 - L'appuntamento	0
51031190	364069	1	2012-11-25 02:10:00	2012-11-25 02:30:00	Ep.4 - Il magazine	0
51121917	368056	1	2012-11-25 02:30:00	2012-11-25 02:50:00	Bruno Barbieri: Chef a 7	0
50433506	346352	1	2012-11-25 02:50:00	2012-11-25 03:20:00	Ep. 11 - Gli sketch piu'	0
50433508	362964	1	2012-11-25 03:20:00	2012-11-25 04:05:00	2' Stagione Ep.4 - Davina	0
50433518	170802	1	2012-11-25 06:00:00	2012-11-25 07:00:00	3' Stagione Ep.11 - 'Eros	0
50433520	170801	1	2012-11-25 07:00:00	2012-11-25 07:50:00	4' Stagione Ep.8 -	0
50433530	228709	1	2012-11-25 08:25:00	2012-11-25 09:00:00	Ep.5 - Il meglio della	0
50433532	364083	1	2012-11-25 09:00:00	2012-11-25 09:45:00	Ep.4 - 'Good Taste Tastes	0
51031192	361505	1	2012-11-25 09:45:00	2012-11-25 12:25:00	Ep.6 - I sei concorrenti	0
51031196	358881	1	2012-11-25 13:00:00	2012-11-25 13:30:00	Uno speciale dedicato al	0
51031198	364082	1	2012-11-25 13:30:00	2012-11-25 14:20:00	1' Stagione Ep.4 - 'It's	0
51031204	362411	1	2012-11-25 15:20:00	2012-11-25 15:45:00	Ep.21 - Alessandro	0
51129904	368160	1	2012-11-25 17:55:00	2012-11-25 18:05:00	...Sat	0
51031212	49651	1	2012-11-25 18:05:00	2012-11-25 20:15:00	Regia di J.Nelson, con	0
51129908	368159	1	2012-11-25 21:10:00	2012-11-25 21:20:00	&	
50704438	359421	1	2012-11-25 22:55:00	2012-11-25 23:40:00	1' Stagione Ep.9 - 'The	0
50704440	237579	1	2012-11-25 23:40:00	2012-11-26 00:30:00	2' Stagione Ep.9 - Il	0
51127831	177197	1	2012-11-26 04:30:00	2012-11-26 04:55:00	Ep. 4 - Craig Busch e'	0
50433578	122523	1	2012-11-26 06:00:00	2012-11-26 06:25:00	2' Stagione Ep.41 - I	0
